time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag,roll_mean_delta_m_per_s,roll_std_delta_m_per_s,zscore_win_delta_m_per_s,edge_flag_win
1760375235077895042,2025-10-13T17:07:15.077Z,0.431,0.131,-0.020376,-0.016937,0,0.0017361000000000056,0.05276479075242671,-0.4190692256082347,0
1760375235181892882,2025-10-13T17:07:15.181Z,0.428,0.128,-0.028846,-0.286204,0,0.005279850000000006,0.04773220149881724,-0.7149439776174081,0
1760375235278504908,2025-10-13T17:07:15.278Z,0.43,0.13,0.020701,1.198293,0,0.0068158000000000055,0.047708270795258245,0.29104387496224354,0
1760375235377957019,2025-10-13T17:07:15.377Z,0.427,0.127,-0.030168,-0.41039,0,0.0018082500000000056,0.04595289241784238,-0.6958484725889509,0
1760375235477764690,2025-10-13T17:07:15.477Z,0.421,0.121,-0.060111,-1.649475,0,-0.0031776999999999942,0.04703284215490733,-1.2105009476672606,0
1760375235578279376,2025-10-13T17:07:15.578Z,0.423,0.123,0.019897,1.135018,0,-0.008260699999999994,0.03733675710990735,0.7541549448741041,0
1760375235679250557,2025-10-13T17:07:15.679Z,0.425,0.125,0.019808,0.944437,0,-0.009316249999999995,0.03615286296426833,0.8055862693027918,0
1760375235778595440,2025-10-13T17:07:15.778Z,0.425,0.125,0.0,0.400728,0,-0.012323049999999993,0.0323760153825329,0.3806228114979328,0
1760375235878679152,2025-10-13T17:07:15.878Z,0.419,0.119,-0.059951,-1.434817,0,-0.017334449999999994,0.031552208055980836,-1.3506677543577454,0
1760375235977668581,2025-10-13T17:07:15.977Z,0.419,0.119,0.0,0.534641,0,-0.016840849999999997,0.03175168210094516,0.5303923724878403,0
1760375236080863139,2025-10-13T17:07:16.080Z,0.42,0.12,0.00969,0.648448,0,-0.013368149999999992,0.030586816302169126,0.7538591062308364,0
1760375236177782977,2025-10-13T17:07:16.177Z,0.418,0.118,-0.020639,-0.292614,0,-0.015412249999999994,0.029571592216134996,-0.1767490218923066,0
1760375236277870659,2025-10-13T17:07:16.277Z,0.417,0.117,-0.00999,0.002679,0,-0.014914349999999996,0.029575035646684164,0.16650360320198276,0
1760375236377909122,2025-10-13T17:07:16.377Z,0.416,0.116,-0.009996,0.102507,0,-0.011512449999999992,0.025575083901647772,0.05929403812834761,0
1760375236478125594,2025-10-13T17:07:16.478Z,0.416,0.116,0.0,0.220696,0,-0.010492249999999993,0.02560866845194389,0.4097147815275633,0
